sent,15,7,8,1545145222.91,1545145226.59,3.68580198288,
sent,15,5,6,1545145287.54,1545145294.81,7.27470302582,
receive,16,5,6,1545145287.57,1545145294.85,7.28792595863,
receive,16,7,8,1545145305.37,1545145305.42,0.0432388782501,
receive,16,6,7,1545145294.78,1545145305.43,10.649435997,
sent,17,6,7,1545145294.96,1545145305.54,10.5741660595,
sent,16,7,8,1545145305.31,1545145312.95,7.63675403595,
sent,16,5,6,1545145374.21,1545145386.99,12.7789261341,
receive,17,5,6,1545145375.23,1545145387.08,11.852866888,
receive,17,6,7,1545145387.08,1545145396.71,9.62885093689,
receive,17,7,8,1545145396.68,1545145396.76,0.0765361785889,
sent,18,6,7,1545145386.84,1545145396.82,9.98151683807,
sent,17,7,8,1545145396.68,1545145404.64,7.959441185,
sent,17,5,6,1545145466.0,1545145480.28,14.2883968353,
receive,18,5,6,1545145465.92,1545145480.38,14.4612939358,
receive,18,7,8,1545145492.53,1545145492.57,0.0370299816132,
receive,18,6,7,1545145480.16,1545145492.72,12.5590248108,
sent,18,7,8,1545145492.47,1545145502.04,9.57229804993,
sent,18,5,6,1545145563.04,1545145569.39,6.35740494728,
receive,19,5,6,1545145563.0,1545145569.53,6.52427220345,
receive,19,6,7,1545145569.43,1545145574.13,4.70536804199,
sent,19,6,7,1545145569.39,1545145574.14,4.74947214127,
receive,19,7,8,1545145574.48,1545145574.5,0.0232419967651,
sent,19,7,8,1545145574.03,1545145577.96,3.9288289547,
receive,20,5,6,1545145639.28,1545145654.97,15.68582201,
sent,19,5,6,1545145639.15,1545145655.05,15.900439024,
receive,20,6,7,1545145654.87,1545145666.48,11.6115710735,
receive,20,7,8,1545145666.44,1545145666.51,0.0649728775024,
sent,20,6,7,1545145654.89,1545145666.57,11.6780860424,
sent,20,7,8,1545145666.35,1545145671.01,4.66649103165,
sent,20,5,6,1545145732.09,1545145744.84,12.7482559681,
receive,21,5,6,1545145732.11,1545145744.92,12.8063018322,
sent,21,6,7,1545145744.79,1545145749.27,4.47718405724,
receive,21,6,7,1545145744.79,1545145749.32,4.53031492233,
receive,21,7,8,1545145749.88,1545145749.91,0.0233879089355,
sent,21,7,8,1545145749.2,1545145753.85,4.65079283714,
receive,22,5,6,1545145815.52,1545145825.34,9.81238293648,
sent,21,5,6,1545145815.56,1545145825.47,9.90917515755,
