sent,1,5,6,1545143498.41,1545143508.76,10.3542888165,
receive,1,5,6,1545143475.54,1545143508.86,33.3142499924,
receive,1,6,7,1545143482.44,1545143512.1,29.6531560421,
receive,1,6,7,1545143484.88,1545143512.2,27.3117451668,
sent,1,7,8,1545143513.06,1545143516.14,3.07894897461,
receive,2,5,6,1545143538.91,1545143585.65,46.7356750965,
sent,2,5,6,1545143577.13,1545143585.71,8.58007097244,
receive,2,6,7,1545143542.25,1545143593.32,51.071999073,
sent,1,6,7,1545143585.62,1545143593.34,7.71726202965,
receive,2,6,7,1545143542.15,1545143593.39,51.2371759415,
sent,2,7,8,1545143593.26,1545143596.75,3.48472595215,
receive,3,5,6,1545143615.69,1545143663.5,47.8154940605,
receive,3,6,7,1545143623.38,1545143668.24,44.8625760078,
sent,2,6,7,1545143663.35,1545143668.3,4.94738006592,
receive,3,6,7,1545143623.44,1545143668.35,44.9031019211,
sent,3,7,8,1545143668.25,1545143672.45,4.20032596588,
